,id,lat,lon,alt,state,name,mlow,mhigh
169,413183,29.6778,-97.1111,158.5,TX,FLATONIA,58,80
170,413992,33.1578,-99.7456,487.7,TX,HASKELL,50,76
171,415618,32.5403,-94.3508,107.3,TX,MARSHALL,54,76
172,417079,34.1892,-101.7022,1027.2,TX,PLAINVIEW,45,73
173,422828,38.9664,-112.3278,1560.6,UT,FILLMORE,37,65
174,423809,40.4917,-111.4261,1703.8,UT,HEBER,28,61
175,424856,41.825,-111.3208,1822.7,UT,LAKETOWN,28,56
176,425733,38.5744,-109.5458,1242.7,UT,MOAB,40,71
177,428771,40.5278,-112.2975,1546.6,UT,TOOELE,40,62
178,444876,37.795,-79.4136,342.9,VA,LEXINGTON,42,67
179,449263,38.9036,-78.485,205.7,VA,WOODSTOCK,42,66
180,431243,43.3847,-72.5989,256.6,VT,CAVENDISH,31,56
181,450008,46.9658,-123.8292,3.0,WA,ABERDEEN,42,58
182,451276,46.72,-122.9528,56.4,WA,CENTRALIA,42,62
183,452007,47.6503,-118.1456,743.7,WA,DAVENPORT,34,57
184,454154,46.2111,-119.1011,118.9,WA,KENNEWICK,42,65
185,456096,48.6117,-122.8064,24.4,WA,OLGA,42,57
186,457938,47.6217,-117.5281,717.2,WA,SPOKANE,38,58
187,459012,47.6478,-120.0697,798.6,WA,WATERVILLE,34,56
188,459238,47.7569,-118.6775,679.7,WA,WILBUR,33,58
189,472839,43.7961,-88.4506,231.6,WI,FOND-DU-LAC,36,55
190,473405,44.1192,-89.5342,331.9,WI,HANCOCK,33,55
191,475255,45.1308,-90.3439,448.1,WI,MEDFORD,31,52
192,476922,42.7022,-87.7861,181.4,WI,RACINE,39,56
193,478027,45.8236,-91.8761,335.3,WI,SPOONER,31,53
194,468384,38.8008,-81.3619,287.4,WV,SPENCER,41,65
195,481730,41.7592,-104.8219,1616.7,WY,CHUGWATER,31,61
196,489770,44.0108,-107.9686,1237.5,WY,WORLAND,29,59
