id,lat,lon,alt,state,name
304555,44.2444,-73.9847,591.3,NY,LAKE-PLACID
304912,43.7975,-75.4817,262.1,NY,LOWVILLE
305426,41.7681,-74.1550,379.5,NY,MOHONK-LAKE
306774,41.3800,-74.6847,143.3,NY,PORT-JERVIS
309000,43.9761,-75.8753,151.5,NY,WATERTOWN
309292,41.3906,-73.9608,97.5,NY,WEST-POINT
331072,40.8128,-82.9694,291.1,OH,BUCYRUS
331541,41.0517,-81.9361,359.7,OH,CHIPPEWA-LAKE
332791,41.0461,-83.6622,234.1,OH,FINDLAY
333375,40.1000,-84.6500,312.1,OH,GREENVILLE
333758,39.2000,-83.6167,335.3,OH,HILLSBORO
333780,41.3000,-81.1500,374.9,OH,HIRAM
334189,40.6489,-83.6061,303.3,OH,KENTON
335041,39.6539,-81.8569,231.6,OH,MC-CONNELLSVILLE
335315,40.7692,-80.8561,356.6,OH,MILLPORT
336118,41.2667,-82.6167,204.2,OH,NORWALK
336600,39.8386,-81.9167,310.9,OH,PHILO
336781,38.7569,-82.8872,164.6,OH,PORTSMOUTH-SCIOTOVILLE
338313,41.1167,-83.1667,225.6,OH,TIFFIN
338534,40.8333,-83.2833,260.3,OH,UPPER-SANDUSKY
338552,40.1000,-83.7833,304.8,OH,URBANA
338769,41.2000,-80.8167,274.3,OH,WARREN
338822,41.5183,-84.1453,228.6,OH,WAUSEON
338830,39.1114,-82.9797,170.7,OH,WAVERLY
339312,40.7833,-81.9167,310.9,OH,WOOSTER
340017,34.7864,-96.6850,309.4,OK,ADA
342912,36.4194,-97.8747,379.5,OK,ENID
344204,34.9894,-99.0525,474.3,OK,HOBART
344573,36.7222,-97.7903,318.5,OK,JEFFERSON
346926,34.7253,-97.2814,286.5,OK,PAULS-VALLEY
349422,35.5200,-98.6986,493.2,OK,WEATHERFORD
350304,42.2128,-122.7144,532.2,OR,ASHLAND
351765,45.2325,-120.1817,865.6,OR,CONDON
352440,45.4539,-121.1303,405.4,OR,DUFUR
353770,45.4486,-122.1547,228.0,OR,PORTLAND
