id,lat,lon,alt,state,name,mlow,mhigh
83186,26.585,-81.8614,4.6,FL,FT-MYERS,64,83
84731,30.1853,-82.5942,59.4,FL,LAKE-CITY,57,80
87851,28.3378,-82.26,57.9,FL,SAINT-LEO,61,82
90140,31.5339,-84.1489,54.9,GA,ALBANY,54,78
92966,32.2003,-83.2058,121.9,GA,EASTMAN,54,77
93621,34.3006,-83.86,356.6,GA,GAINESVILLE,48,70
95874,33.0831,-83.2497,112.2,GA,MILLEDGEVILLE,50,75
99291,32.8694,-85.1892,175.3,GA,WEST-POINT,50,75
131635,41.7947,-90.2639,178.3,IA,CLINTON,39,60
132789,41.0211,-91.9553,225.6,IA,FAIRFIELD,40,61
132864,42.8503,-91.8158,344.4,IA,FAYETTE,35,56
134063,41.3656,-93.6481,287.1,IA,INDIANOLA,39,61
134894,41.6381,-95.7883,301.8,IA,LOGAN,38,61
138296,42.0356,-92.5806,289.3,IA,TOLEDO,37,59
100470,44.0425,-111.2739,1588.6,ID,ASHTON,28,54
103732,42.5872,-111.7275,1691.6,ID,GRACE,29,56
104831,47.5311,-116.1267,707.1,ID,KELLOGG,35,59
106152,46.7244,-116.9608,810.8,ID,MOSCOW,36,58
106542,42.2342,-113.8981,1389.6,ID,OAKLEY,35,61
110338,41.7806,-88.3092,201.2,IL,AURORA,38,59
112193,39.8275,-88.9525,189.0,IL,DECATUR,42,64
116910,40.8853,-88.6389,198.1,IL,PONTIAC,41,61
120784,39.1742,-86.5214,253.0,IN,BLOOMINGTON,43,64
129557,39.9961,-86.3542,289.0,IN,WHITESTOWN,41,62
143527,38.8586,-99.3358,612.6,KS,HAYS,40,67
143810,39.6703,-95.5225,313.9,KS,HORTON,42,65
143954,37.2364,-95.7003,245.4,KS,INDEPENDENCE,46,69
150909,36.9647,-86.4239,160.9,KY,BOWLING-GREEN,46,69
153430,37.2592,-85.5022,179.8,KY,GREENSBURG,44,68
160098,31.3206,-92.4611,26.5,LA,ALEXANDRIA,56,77
161411,32.5133,-92.3478,54.9,LA,CALHOUN,52,76
165026,30.205,-91.9875,11.6,LA,LAFAYETTE,58,78
190120,42.3861,-72.5375,45.7,MA,AMHERST,37,59
194105,42.6992,-71.1658,15.2,MA,LAWRENCE,39,59
196486,41.9819,-70.6961,13.7,MA,PLYMOUTH,40,59
186620,39.4133,-79.4,737.6,MD,OAKLAND,36,59
188000,38.365,-75.5892,3.0,MD,SALISBURY,47,67
172765,44.6889,-70.1567,128.0,ME,FARMINGTON,31,54
200230,42.2947,-83.7108,274.3,MI,ANN-ARBOR,39,58
200779,43.7072,-85.4822,283.5,MI,BIG-RAPIDS,35,56
201675,41.9622,-84.9925,299.9,MI,COLDWATER,38,58
202423,44.2839,-83.5036,178.6,MI,EAST-TAWAS,34,54
204104,46.4656,-90.1892,435.9,MI,IRONWOOD,30,50
212698,43.6447,-94.4656,361.8,MN,FAIRMONT,35,55
215638,45.5903,-95.8747,347.5,MN,MORRIS,31,53
216565,44.0139,-96.3258,519.7,MN,PIPESTONE,32,55
217405,44.3222,-93.9656,259.1,MN,ST-PETER,34,56
219249,44.2992,-92.6661,300.2,MN,ZUMBROTA,33,56
231037,39.4247,-93.1331,201.8,MO,BRUNSWICK,43,65
235976,36.8639,-94.36,308.2,MO,NEOSHO,45,69
238051,39.9714,-91.8872,210.3,MO,STEFFENVILLE,42,64
220021,33.83,-88.5214,60.4,MS,ABERDEEN,51,75
221707,34.1864,-90.5572,52.7,MS,CLARKSDALE,52,73
223887,31.2547,-89.3392,117.3,MS,HATTIESBURG,54,78
224776,33.0583,-89.5797,125.0,MS,KOSCIUSKO,51,75
225987,31.5519,-90.1058,58.2,MS,MONTICELLO,52,77
226177,31.5889,-91.3408,59.4,MS,NATCHEZ,55,77
241044,45.6622,-111.0453,1497.5,MT,BOZEMAN,31,55
241552,47.2194,-111.71,1024.1,MT,CASCADE,32,58
241722,48.5883,-109.2256,737.6,MT,CHINOOK,28,57
242173,48.6033,-112.3753,1169.8,MT,CUT-BANK,29,53
242409,45.2128,-112.6447,1593.5,MT,DILLON,29,58
242689,45.8903,-104.5461,1043.9,MT,EKALAKA,31,57
244345,45.9228,-108.2444,924.8,MT,HUNTLEY,31,60
244558,48.3042,-114.2636,901.3,MT,KALISPELL-GLACIER,32,54
245761,47.0575,-109.9514,1310.6,MT,MOCCASIN,30,55
246918,45.1797,-109.2497,1718.2,MT,RED-LODGE,29,53
247382,47.4536,-104.3378,602.0,MT,SAVAGE,30,57
312635,36.0164,-76.5517,3.0,NC,EDENTON,50,71
