id,lat,lon,alt,state,name
424856,41.8250,-111.3208,1822.7,UT,LAKETOWN
425733,38.5744,-109.5458,1242.7,UT,MOAB
428771,40.5278,-112.2975,1546.6,UT,TOOELE
444876,37.7950,-79.4136,342.9,VA,LEXINGTON
449263,38.9036,-78.4850,205.7,VA,WOODSTOCK
431243,43.3847,-72.5989,256.6,VT,CAVENDISH
450008,46.9658,-123.8292,3.0,WA,ABERDEEN
451276,46.7200,-122.9528,56.4,WA,CENTRALIA
452007,47.6503,-118.1456,743.7,WA,DAVENPORT
454154,46.2111,-119.1011,118.9,WA,KENNEWICK
456096,48.6117,-122.8064,24.4,WA,OLGA
457938,47.6217,-117.5281,717.2,WA,SPOKANE
459012,47.6478,-120.0697,798.6,WA,WATERVILLE
459238,47.7569,-118.6775,679.7,WA,WILBUR
472839,43.7961,-88.4506,231.6,WI,FOND-DU-LAC
473405,44.1192,-89.5342,331.9,WI,HANCOCK
475255,45.1308,-90.3439,448.1,WI,MEDFORD
476922,42.7022,-87.7861,181.4,WI,RACINE
478027,45.8236,-91.8761,335.3,WI,SPOONER
468384,38.8008,-81.3619,287.4,WV,SPENCER
481730,41.7592,-104.8219,1616.7,WY,CHUGWATER
489770,44.0108,-107.9686,1237.5,WY,WORLAND
